platform,measurement,latency_ms
mac_cpu,model_forward,1.114916
mac_cpu,model_forward,1.096792
mac_cpu,model_forward,1.175583
mac_cpu,model_forward,1.082417
mac_cpu,model_forward,1.109208
mac_cpu,model_forward,1.126458
mac_cpu,model_forward,1.199
mac_cpu,model_forward,1.127084
mac_cpu,model_forward,1.109833
mac_cpu,model_forward,1.073958
mac_cpu,model_forward,1.124666
mac_cpu,model_forward,1.305208
mac_cpu,model_forward,1.153125
mac_cpu,model_forward,1.109291
mac_cpu,model_forward,1.116542
mac_cpu,model_forward,1.095041
mac_cpu,model_forward,1.086958
mac_cpu,model_forward,1.06375
mac_cpu,model_forward,1.172833
mac_cpu,model_forward,1.102208
mac_cpu,model_forward,1.067291
mac_cpu,model_forward,1.1125
mac_cpu,model_forward,1.098792
mac_cpu,model_forward,1.086708
mac_cpu,model_forward,1.09675
mac_cpu,model_forward,1.098958
mac_cpu,model_forward,1.086042
mac_cpu,model_forward,1.104
mac_cpu,model_forward,1.125041
mac_cpu,model_forward,1.079541
mac_cpu,model_forward,1.092541
mac_cpu,model_forward,1.083666
mac_cpu,model_forward,1.13825
mac_cpu,model_forward,1.147375
mac_cpu,model_forward,1.122375
mac_cpu,model_forward,1.0865
mac_cpu,model_forward,1.082291
mac_cpu,model_forward,1.111042
mac_cpu,model_forward,1.060209
mac_cpu,model_forward,1.101208
mac_cpu,model_forward,1.114917
mac_cpu,model_forward,1.085625
mac_cpu,model_forward,1.142417
mac_cpu,model_forward,1.230208
mac_cpu,model_forward,1.13125
mac_cpu,model_forward,1.0915
mac_cpu,model_forward,1.146833
mac_cpu,model_forward,1.116458
mac_cpu,model_forward,1.076792
mac_cpu,model_forward,1.093083
mac_cpu,model_forward,1.0835
mac_cpu,model_forward,1.133084
mac_cpu,model_forward,1.102458
mac_cpu,model_forward,1.180166
mac_cpu,model_forward,1.189
mac_cpu,model_forward,1.188542
mac_cpu,model_forward,1.128875
mac_cpu,model_forward,1.125667
mac_cpu,model_forward,1.156166
mac_cpu,model_forward,1.104167
mac_cpu,model_forward,1.114292
mac_cpu,model_forward,1.086833
mac_cpu,model_forward,1.080542
mac_cpu,model_forward,1.134875
mac_cpu,model_forward,1.103875
mac_cpu,model_forward,1.087625
mac_cpu,model_forward,1.12775
mac_cpu,model_forward,1.111791
mac_cpu,model_forward,1.11275
mac_cpu,model_forward,1.095417
mac_cpu,model_forward,1.086833
mac_cpu,model_forward,1.113333
mac_cpu,model_forward,1.13775
mac_cpu,model_forward,1.110333
mac_cpu,model_forward,1.176375
mac_cpu,model_forward,1.328458
mac_cpu,model_forward,1.138583
mac_cpu,model_forward,1.104917
mac_cpu,model_forward,1.379584
mac_cpu,model_forward,1.142209
mac_cpu,model_forward,1.135875
mac_cpu,model_forward,1.118875
mac_cpu,model_forward,1.10525
mac_cpu,model_forward,1.107292
mac_cpu,model_forward,1.089166
mac_cpu,model_forward,1.084083
mac_cpu,model_forward,1.111125
mac_cpu,model_forward,1.126583
mac_cpu,model_forward,1.106417
mac_cpu,model_forward,1.078291
mac_cpu,model_forward,1.166416
mac_cpu,model_forward,1.110292
